1579,ripio-credit-network,Ripio Credit Network,2018-01-15 20:40:27.600,RCN
1580,simple-token,Simple Token,2018-01-15 20:40:27.600,OST
1581,bitbay,Bitbay,2018-01-15 20:40:27.600,BAY
1582,peercoin,Peercoin,2018-01-15 20:40:27.600,PPC
1583,airswap,Airswap,2018-01-15 20:40:27.600,AST
1584,sonm,Sonm,2018-01-15 20:40:27.603,SNM
1585,spankchain,Spankchain,2018-01-15 20:40:27.603,SPANK
1586,einsteinium,Einsteinium,2018-01-15 20:40:27.603,EMC2
1587,centra,Centra,2018-01-15 20:40:27.603,CTR
1588,dynamic-trading-rights,Dynamic Trading Rights,2018-01-15 20:40:27.603,DTR
1589,attention-token-of-media,Attention Token Of Media,2018-01-15 20:40:27.603,ATM
1590,wabi,Wabi,2018-01-15 20:40:27.603,WABI
1591,gulden,Gulden,2018-01-15 20:40:27.603,NLG
1592,naga,Naga,2018-01-15 20:40:27.603,NGC
1593,adx-net,Adx Net,2018-01-15 20:40:27.603,ADX
1594,quantum-resistant-ledger,Quantum Resistant Ledger,2018-01-15 20:40:27.603,QRL
1595,library-credit,Library Credit,2018-01-15 20:40:27.607,LBC
1596,cybermiles,Cybermiles,2018-01-15 20:40:27.607,CMT
1597,streamr-datacoin,Streamr Datacoin,2018-01-15 20:40:27.607,DATA
1598,supernet-unity,Supernet Unity,2018-01-15 20:40:27.607,UNITY
1599,unikoin-gold,Unikoin Gold,2018-01-15 20:40:27.607,UKG
1600,metaverse,Metaverse,2018-01-15 20:40:27.607,ETP
1601,zencash,Zencash,2018-01-15 20:40:27.607,ZEN
1602,decentraland,Decentraland,2018-01-15 20:40:27.607,MANA
1603,counterparty,Counterparty,2018-01-15 20:40:27.607,XCP
1604,triggers,Triggers,2018-01-15 20:40:27.610,TRIG
1605,modum,Modum,2018-01-15 20:40:27.610,MOD
1606,viacoin,Viacoin,2018-01-15 20:40:27.610,VIA
1607,burst,Burst,2018-01-15 20:40:27.610,BURST
1608,wings,Wings,2018-01-15 20:40:27.610,WINGS
1609,cindicator,Cindicator,2018-01-15 20:40:27.610,CND
1610,firstblood,Firstblood,2018-01-15 20:40:27.610,1ST
1611,wagerr,Wagerr,2018-01-15 20:40:27.610,WGR
1612,district0x,District0x,2018-01-15 20:40:27.610,DNT
1613,nuls,Nuls,2018-01-15 20:40:27.610,NULS
1614,melon,Melon,2018-01-15 20:40:27.610,MLN
1615,lamden,Lamden,2018-01-15 20:40:27.610,TAU
1616,hempcoin,Hempcoin,2018-01-15 20:40:27.610,THC
1617,amber,Amber,2018-01-15 20:40:27.610,AMB
1618,voxels,Voxels,2018-01-15 20:40:27.613,VOX
1619,utrust,Utrust,2018-01-15 20:40:27.613,UTK
1620,agoras-tokens,Agoras Tokens,2018-01-15 20:40:27.613,AGRS
1621,etherparty,Etherparty,2018-01-15 20:40:27.613,FUEL
1622,mobilego,Mobilego,2018-01-15 20:40:27.613,MGO
1623,rise,Rise,2018-01-15 20:40:27.613,RISE
1624,metal,Metal,2018-01-15 20:40:27.613,MTL
1625,iot-chain,Iot Chain,2018-01-15 20:40:27.613,ITC
1626,hive,Hive,2018-01-15 20:40:27.613,HVN
1627,eidoo,Eidoo,2018-01-15 20:40:27.613,EDO
1628,asch,Asch,2018-01-15 20:40:27.617,XAS
1629,bread,Bread,2018-01-15 20:40:27.617,BRD
1630,oyster-pearl,Oyster Pearl,2018-01-15 20:40:27.617,PRL
1631,cofound-it,Cofound It,2018-01-15 20:40:27.617,CFI
1632,safe-exchange-coin,Safe Exchange Coin,2018-01-15 20:40:27.617,SAFEX
1633,cloakcoin,Cloakcoin,2018-01-15 20:40:27.617,CLOAK
1634,coindash,Coindash,2018-01-15 20:40:27.617,CDT
1635,iocoin,Iocoin,2018-01-15 20:40:27.617,IOC
1636,decent,Decent,2018-01-15 20:40:27.617,DCT
1637,gifto,Gifto,2018-01-15 20:40:27.617,GTO
1638,coss,Coss,2018-01-15 20:40:27.617,COSS
1639,aeon,Aeon,2018-01-15 20:40:27.620,AEON
1640,tierion,Tierion,2018-01-15 20:40:27.620,TNT
1641,minexcoin,Minexcoin,2018-01-15 20:40:27.620,MNX
1642,ixledger,Ixledger,2018-01-15 20:40:27.620,IXT
1643,voisecom,Voisecom,2018-01-15 20:40:27.620,VOISE
1644,lunyr,Lunyr,2018-01-15 20:40:27.620,LUN
1645,trust,Trust,2018-01-15 20:40:27.620,TRST
1646,decision-token,Decision Token,2018-01-15 20:40:27.620,HST
1647,presearch,Presearch,2018-01-15 20:40:27.620,PRS
1648,genesis-vision,Genesis Vision,2018-01-15 20:40:27.620,GVT
1649,namecoin,Namecoin,2018-01-15 20:40:27.620,NMC
1650,feathercoin,Feathercoin,2018-01-15 20:40:27.620,FTC
1651,jinn,Jinn,2018-01-15 20:40:27.620,JINN
1652,shift,Shift,2018-01-15 20:40:27.620,SHIFT
1653,groestlcoin,Groestlcoin,2018-01-15 20:40:27.623,GRS
1654,salus,Salus,2018-01-15 20:40:27.623,SLS
1655,tokencard,Tokencard,2018-01-15 20:40:27.623,TKN
1656,ink,Ink,2018-01-15 20:40:27.623,INK
1657,spectrecoin,Spectrecoin,2018-01-15 20:40:27.623,XSPEC
1658,mooncoin,Mooncoin,2018-01-15 20:40:27.623,MOON
1659,pura,Pura,2018-01-15 20:40:27.623,PURA
1660,agrello-delta,Agrello Delta,2018-01-15 20:40:27.623,DLT
1661,taas,Taas,2018-01-15 20:40:27.623,TAAS
1662,viberate,Viberate,2018-01-15 20:40:27.627,VIB
1663,latoken,Latoken,2018-01-15 20:40:27.627,LA
1664,monetha,Monetha,2018-01-15 20:40:27.627,MTH
1665,shield-xsh,Shield Xsh,2018-01-15 20:40:27.627,XSH
1666,guppy,Guppy,2018-01-15 20:40:27.627,GUP
1667,grid,Grid,2018-01-15 20:40:27.627,GRID
1668,humaniq,Humaniq,2018-01-15 20:40:27.627,HMQ
1669,lykke,Lykke,2018-01-15 20:40:27.627,LKK
1670,everex,Everex,2018-01-15 20:40:27.627,EVX
1671,domraider,Domraider,2018-01-15 20:40:27.627,DRT
1672,yoyow,Yoyow,2018-01-15 20:40:27.630,YOYOW
1673,adtoken,Adtoken,2018-01-15 20:40:27.630,ADT
1674,synereo,Synereo,2018-01-15 20:40:27.630,AMP
1675,delphy,Delphy,2018-01-15 20:40:27.630,DPY
1676,solarcoin,Solarcoin,2018-01-15 20:40:27.630,SLR
1677,pepe-cash,Pepe Cash,2018-01-15 20:40:27.630,PEPECASH
1678,eccoin,Eccoin,2018-01-15 20:40:27.630,ECC
1679,flash,Flash,2018-01-15 20:40:27.630,FLASH
1680,elastic,Elastic,2018-01-15 20:40:27.630,XEL
1681,mothership,Mothership,2018-01-15 20:40:27.630,MSP
1682,mercury,Mercury,2018-01-15 20:40:27.630,MER
1683,diamond,Diamond,2018-01-15 20:40:27.630,DMD
1684,datum,Datum,2018-01-15 20:40:27.630,DAT
1685,potcoin,Potcoin,2018-01-15 20:40:27.630,POT
1686,pascal-coin,Pascal Coin,2018-01-15 20:40:27.633,PASC
1687,paypex,Paypex,2018-01-15 20:40:27.633,PAYX
1688,crown,Crown,2018-01-15 20:40:27.633,CRW
1689,zeusshield,Zeusshield,2018-01-15 20:40:27.633,ZSC
1690,bitcny,Bitcny,2018-01-15 20:40:27.633,BITCNY
1691,worldcore,Worldcore,2018-01-15 20:40:27.633,WRC
1692,sibcoin,Sibcoin,2018-01-15 20:40:27.633,SIB
